system:index,AMOSTRAS,AMOSTRA_AM,BioNB,CARTA_2,CLASS_2022,DECLIVIDAD,LAT,LON,NEW_PROB,NEW_WEIGHT,PESO_VOT,PROB_AMOS2,StateNB,TARGETID,VAL_PESO,classification,reference,year,.geo
0000000000000000504c_0,,0,1,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-2.90398166,-43.9405014,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17024,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005053_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.38907192,-42.440764,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,2459,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005057_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.73483347,-42.9945754,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,256,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005059_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.81675983,-43.2333476,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17045,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005067_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.65452408,-43.9313386,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17075,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005068_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.10394665,-42.2257074,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,15777,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005069_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-2.92581073,-42.6215949,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17078,0.3333333333333333,4,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000506d_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.23249556,-43.5995908,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17085,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000506e_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-2.63152264,-43.7302956,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17086,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000506f_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.04007643,-43.7655994,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,11617,0.3333333333333333,21,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005075_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-2.88161361,-42.9870296,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,3143,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005077_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.66126145,-42.9296272,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17111,0.3333333333333333,4,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000507e_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-2.79807029,-43.2115186,1.0946847778015985E-5,55301.69792534376,7.034695621282403E-6,1.4069391242564806E-5,21.0,2382,0.5,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005080_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-2.73662553,-43.7337991,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,3092,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
